2.322,186.954,21390
65.037,622.028,3510
65.037,922.004,3224
65.535,1221.98,2500
65.535,1521.96,1016
73.997,1221.98,2309
85.943,922.002,2611
88.929,1221.98,2164
94.404,622.029,2913
103.364,622.025,2636
103.364,1521.98,1082
107.346,922.004,2670
109.834,1221.98,1996
120.287,239.148,90709
120.287,1222,2130
121.282,922.004,2877
123.771,622.029,2911
130.739,239.147,92326
131.735,1221.98,2218
134.721,922.005,2539
139.201,1521.96,1002
144.676,239.149,93344
148.16,622.027,2934
155.129,1221.98,2604
160.106,239.15,96645
161.102,922.006,3028
161.6,622.028,3228
169.563,1221.98,2518
173.048,922.002,3167
174.043,622.026,3290
180.016,1221.98,2575
184.496,239.146,98523
184.993,622.028,3164
188.975,922.002,3128
189.473,1221.98,2732
190.966,1521.96,1036
197.437,239.147,98082
197.437,922.007,3403
206.396,622.026,3362
206.396,1221.98,2633
208.387,239.147,99147
211.871,922.007,3239
214.36,1221.99,2685
259.157,226.944,775848
260.153,430.91,159085
286.035,622.029,1953
289.519,1521.96,1482
290.515,151.07,532436
292.008,1221.98,2895
293.004,922.009,1940
305.945,131.112,202765
313.909,922.245,167444
314.406,1229.32,74389
315.402,1536.41,59283
315.402,1690.46,16267
315.402,2151.58,20502
315.402,2305.12,5068
315.9,615.171,502554
315.9,1383.38,19826
315.9,1997.52,9212
315.9,2458.66,9685
316.397,308.086,5.30341e+06
316.397,1843.49,31921
332.823,159.14,7.57657e+06
333.321,782.508,28348
333.818,317.286,2.95768e+06
362.687,1229.32,1811
363.185,615.171,19177
363.185,922.245,5628
375.131,102.122,3.1675e+06
375.131,331.152,5.52865e+06
394.045,762.474,1075
405.493,118.119,1.50489e+06
409.973,922.245,1421
422.417,331.152,210547
435.358,102.122,159238
465.72,421.061,218873
467.213,211.031,294470
471.195,879.069,4362
472.689,685.01,9648
476.173,1221.98,1025
503.051,879.069,2846
505.042,1222,1093
515.494,160.124,433312
516.49,655.051,5241
526.445,879.069,1739
527.938,1222,1157
534.906,879.079,1644
536.897,1221.98,1130
537.893,685.01,4758
543.368,879.055,1773
543.368,879.072,1773
550.834,1222,1140
557.803,211.031,146798
566.762,1221.98,1242
579.206,195.039,494836
592.645,1221.98,1161
602.599,185.937,1.88192e+06
606.084,2396.49,1019
606.581,1864.39,1231
607.079,2130.45,1637
608.075,1597.33,1415
612.057,823.126,11806
619.025,1464.81,1394
626.989,2130.45,1713
630.971,1597.83,1594
638.437,1864.39,1556
638.437,2396.49,1426
641.921,1597.83,2095
645.903,823.126,15723
648.889,533.105,2.25996e+06
649.387,267.058,2.15835e+06
658.347,102.122,185937
671.288,2396.49,2697
673.279,102.122,179168
674.772,2130.43,4704
675.27,1597.83,3267
675.27,1864.39,2933
677.261,267.058,2.98062e+06
677.261,533.105,3.33665e+06
678.754,2396.52,2697
682.238,116.14,210700
692.193,823.126,19813
702.148,1113.13,1231
715.587,1222,1237
735.497,1221.98,1498
746.945,400.107,388348
753.415,1221.98,1324
767.352,1184.87,2214
770.339,324.079,2.17813e+06
771.334,647.155,583549
772.33,1550.37,1227
773.325,1031.34,4209
788.755,223.068,955712
800.701,1221.98,1344
811.154,401.089,149204
821.108,267.061,136652
821.108,706.17,10961
828.575,1221.98,1207
838.032,416.099,238223
849.48,1221.98,1335
862.919,400.103,505037
869.389,1222,1354
873.371,1021.37,1275
875.86,733.429,333790
876.358,367.209,912994
886.81,1221.98,1078
900.747,1221.99,1237
905.227,508.238,243055
905.227,1047.58,4922
905.725,254.62,560178
905.725,768.274,23681
918.666,273.171,1.11017e+06
918.666,545.335,380975
922.15,1221.98,1116
937.082,1221.98,1194
940.567,267.061,148913
942.06,555.091,53018
953.01,1104.6,18743
955.997,931.528,9089
958.485,325.163,576020
958.983,649.329,148872
973.915,735.145,32798
975.409,267.058,138026
982.377,534.731,93382
983.373,1068.43,15571
1001.79,379.079,873468
1002.29,751.14,51337
1002.78,1177.13,3302
1018.71,1072.5,2168
1036.63,555.091,63862
1038.12,267.058,154628
1045.59,751.14,352674
1045.59,1501.28,20601
1046.09,1873.83,1058
1046.09,2251.43,1038
1051.56,1039.17,4757
1058.53,309.151,705848
1059.03,152.064,4.32968e+06
1070.97,808.192,56879
1073.46,1096.2,2123
1081.93,555.105,61689
1084.91,1037.18,2587
1084.91,1497.28,1430
1085.91,749.131,67699
1109.3,1086.62,6828
1110.8,555.104,76229
1124.23,1138.49,6789
1126.72,555.105,82112
1133.19,267.063,184207
1143.65,555.091,86596
1145.14,267.067,188137
1148.62,886.417,31028
1153.1,722.35,185479
1154.1,1443.63,12407
1159.57,1051.4,16998
1178.49,1222,1126
1181.97,267.058,212702
1186.45,974.454,6054
1193.42,1478.5,3521
1197.9,345.187,769013
1197.9,689.366,284890
1202.38,1222,1028
1210.34,1047.51,2660
1212.83,267.069,236729
1214.33,555.106,120147
1216.32,1360.57,1674
1237.72,1076.42,1853
1253.15,751.8,47013
1253.15,1502.59,8457
1256.63,1188.46,6488
1261.61,555.091,153854
1276.05,395.235,656636
